coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
WA-503,"Tacoma, Lakewood/Pierce County CoC",1283.0,942.0,341.0,722.0,538.0,616.0,169.0,322.0,14.0,392279,367880,24399,844317,0,0.0,0.0,45039.0,176277.99568961022,264565.26997647673,50.470000000000006
WA-504,Everett/Snohomish County CoC,829.0,517.0,312.0,518.0,311.0,645.0,46.0,86.0,11.0,404003,385767,18236,770022,0,0.0,0.0,48291.0,234313.45158671497,343549.11200534116,50.46999999999999
WA-508,Vancouver/Clark County CoC,662.0,456.0,206.0,356.0,305.0,443.0,53.0,52.0,1.0,214327,200966,13361,457320,0,0.0,0.0,46207.0,197100.312115572,271097.8178682588,50.47
WI-500,Wisconsin Balance of State CoC,3597.0,3390.0,207.0,1807.0,1789.0,2433.0,338.0,658.0,44.0,2127780,2035443,92337,3953422,0,0.0,0.0,46762.231037819896,80449.45786913772,147806.5097391262,44.71
WI-501,Milwaukee City & County CoC,1521.0,1389.0,132.0,935.0,583.0,446.0,127.0,994.0,7.0,475735,448993,26742,958606,0,0.0,0.0,42971.0,58056.58441419384,125772.43732889833,44.71
WI-502,Racine City & County CoC,168.0,157.0,11.0,90.0,78.0,87.0,9.0,77.0,0.0,99081,93644,5437,194725,0,0.0,0.0,44953.0,69119.5177405815,130428.64769408529,44.71
WI-503,Madison/Dane County CoC,771.0,679.0,92.0,472.0,298.0,310.0,39.0,424.0,4.0,310088,300430,9658,523399,0,0.0,0.0,54992.0,145519.82297274063,235244.0657172718,44.71
WV-500,"Wheeling, Weirton Area CoC",114.0,95.0,19.0,79.0,34.0,105.0,0.0,3.0,0.0,65709,60951,4758,144246,0,0.0,0.0,40518.064265213594,29549.481941175523,71034.65198118809,53.08
WV-501,"Huntington/Cabell, Wayne Counties CoC",227.0,205.0,22.0,129.0,98.0,176.0,4.0,49.0,0.0,57541,54229,3312,137889,0,0.0,0.0,36273.178186802426,33412.2039000623,86204.18067512184,53.07999999999999
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",385.0,341.0,44.0,270.0,115.0,301.0,5.0,74.0,0.0,124676,117011,7665,277138,0,0.0,0.0,42757.99944071185,44955.10603020798,100210.14070123473,53.08
WV-508,West Virginia Balance of State CoC,1109.0,762.0,347.0,730.0,379.0,913.0,30.0,163.0,1.0,543608,507265,36343,1284059,0,0.0,0.0,36199.64760419887,39963.77888031844,91079.173409555,53.08
WY-500,Wyoming Statewide CoC,798.0,507.0,291.0,503.0,295.0,628.0,129.0,30.0,0.0,301612,288896,12716,586389,0,0.0,0.0,57575.73463178879,134217.08380214736,216593.7163085924,43.47
